Barcode,Top
s_008um_00119_00136-1,PC
s_008um_00110_00122-1,PC
s_008um_00117_00144-1,PC
s_008um_00146_00127-1,PC
s_008um_00135_00115-1,PC
s_008um_00100_00149-1,PC
s_008um_00097_00128-1,PC
s_008um_00119_00137-1,PC
s_008um_00087_00127-1,PC
s_008um_00143_00142-1,PC
s_008um_00081_00123-1,PC
s_008um_00151_00144-1,PC
s_008um_00113_00123-1,PC
s_008um_00099_00130-1,PC
s_008um_00130_00145-1,PC
s_008um_00149_00126-1,PC
s_008um_00143_00141-1,PC
s_008um_00116_00128-1,PC
s_008um_00120_00150-1,PC
s_008um_00097_00151-1,PC
s_008um_00131_00125-1,PC
s_008um_00092_00134-1,PC
s_008um_00141_00130-1,PC
s_008um_00094_00142-1,PC
s_008um_00104_00120-1,PC
s_008um_00124_00124-1,PC
s_008um_00148_00129-1,PC
s_008um_00142_00135-1,PC
s_008um_00145_00118-1,PC
s_008um_00094_00144-1,PC
s_008um_00111_00129-1,PC
s_008um_00099_00132-1,PC
s_008um_00152_00131-1,PC
s_008um_00115_00128-1,PC
s_008um_00102_00149-1,PC
s_008um_00128_00142-1,PC
s_008um_00108_00136-1,PC
s_008um_00102_00134-1,PC
s_008um_00103_00139-1,PC
s_008um_00098_00147-1,PC
s_008um_00126_00142-1,PC
s_008um_00109_00128-1,PC
s_008um_00084_00135-1,PC
s_008um_00151_00115-1,PC
s_008um_00090_00128-1,PC
s_008um_00110_00146-1,PC
s_008um_00093_00134-1,PC
s_008um_00112_00120-1,PC
s_008um_00127_00133-1,PC
s_008um_00142_00110-1,PC
s_008um_00144_00121-1,PC
s_008um_00130_00151-1,PC
s_008um_00130_00123-1,PC
s_008um_00105_00155-1,PC
s_008um_00094_00147-1,PC
s_008um_00146_00144-1,PC
s_008um_00133_00137-1,PC
s_008um_00084_00125-1,PC
s_008um_00134_00119-1,PC
s_008um_00093_00152-1,PC
s_008um_00125_00113-1,PC
s_008um_00129_00141-1,PC
s_008um_00145_00124-1,PC
s_008um_00152_00140-1,PC
s_008um_00120_00155-1,PC
s_008um_00130_00127-1,PC
s_008um_00097_00146-1,PC
s_008um_00101_00152-1,PC
s_008um_00088_00127-1,PC
s_008um_00136_00114-1,PC
s_008um_00140_00133-1,PC
s_008um_00151_00109-1,PC
s_008um_00090_00143-1,PC
s_008um_00134_00150-1,PC
s_008um_00105_00125-1,PC
s_008um_00121_00149-1,PC
s_008um_00103_00142-1,PC
s_008um_00097_00122-1,PC
s_008um_00085_00150-1,PC
s_008um_00106_00124-1,PC
s_008um_00118_00151-1,PC
s_008um_00097_00154-1,PC
s_008um_00078_00124-1,PC
s_008um_00152_00114-1,PC
s_008um_00119_00133-1,PC
s_008um_00131_00147-1,PC
s_008um_00099_00152-1,PC
s_008um_00089_00144-1,PC
s_008um_00096_00123-1,PC
s_008um_00122_00129-1,PC
s_008um_00121_00118-1,PC
s_008um_00128_00126-1,PC
s_008um_00100_00121-1,PC
s_008um_00145_00106-1,PC
s_008um_00125_00143-1,PC
s_008um_00107_00124-1,PC
s_008um_00087_00151-1,PC
s_008um_00145_00111-1,PC
s_008um_00111_00150-1,PC
s_008um_00139_00145-1,PC
s_008um_00114_00127-1,PC
